Country,CompanyType,YearsInOperation,AnnualRevenue,CompanySize,MainLogisticsChallenges,GCCShipmentFrequency,CurrentWarehousingSolution,CurrentDeliveryModel,PainPointsCurrentModel,TechAdoption,SustainabilityImportance,CarbonTracking,EcoPayExtra,EcoFeaturesMatterMost,LikelihoodToUseAIPlatform,MotivatorsToSwitch,ConcernsSwitching,WillingnessToSpendPerMonth,PilotProgramInterest
Saudi Arabia,Logistics Provider,1-3,"100,000 – 500,000",11–50,"Managing cross-border compliance, Technology adoption",Weekly,Own warehouse,Mix of both,"Difficult to scale, High cost",Basic software (inventory/ERP),2,Planning to,Yes,Route optimization for less fuel,3,Flexible contract terms,"Data security/privacy, Integration with existing systems",Less than 500,Yes
Kuwait,SME Manufacturer,4-7,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,On-demand (pay as you go),Mix of both,"Environmental concerns, Poor visibility/tracking",Basic software (inventory/ERP),1,Planning to,Maybe,Green packaging,5,Faster deliveries,"None, Reliability of new provider","1,001 – 5,000",Yes
Saudi Arabia,Logistics Provider,1-3,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Tracking shipments",Monthly,Own warehouse,Mix of both,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),3,Planning to,Yes,"Route optimization for less fuel, Solar-powered warehouses",4,"Lower costs, Sustainability features",Data security/privacy,Less than 500,Yes
Saudi Arabia,E-commerce Brand,4-7,"500,001 – 1,000,000",11–50,"Other, Technology adoption",Monthly,Own warehouse,In-house,"Difficult to scale, High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",1,No,Yes,"Electric vehicles, Solar-powered warehouses",4,"Better tracking/visibility, Lower costs","Integration with existing systems, Reliability of new provider","500 – 1,000",Yes
Oman,SME Manufacturer,1-3,"Less than 100,000",1–10,"Managing cross-border compliance, Tracking shipments",Weekly,Third-party logistics (3PL),In-house,"Difficult to scale, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),1,No,No,"Electric vehicles, Green packaging",3,"Faster deliveries, Lower costs",Data security/privacy,"500 – 1,000",No
Oman,SME Manufacturer,1-3,"1,000,001 – 5,000,000",51–200,"Managing cross-border compliance, Other",Weekly,Rented long-term,Mix of both,"Delays at borders, Lack of flexibility",Basic software (inventory/ERP),4,No,No,"Green packaging, Route optimization for less fuel",4,Better tracking/visibility,"Integration with existing systems, Reliability of new provider",Less than 500,No
Saudi Arabia,SME Manufacturer,Less than 1,"Less than 100,000",11–50,"Carbon emissions / sustainability, Finding flexible warehouse space",Monthly,None,Outsourced to 3PL,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),2,No,Maybe,"Green packaging, Solar-powered warehouses",4,Better tracking/visibility,Data security/privacy,"500 – 1,000",Maybe
Bahrain,SME Manufacturer,4-7,"1,000,001 – 5,000,000",51–200,"Finding flexible warehouse space, Tracking shipments",Weekly,Rented long-term,In-house,High cost,"Automated (IoT, AI-driven, warehouse management systems)",2,Planning to,Yes,"Electric vehicles, Green packaging",3,Lower costs,Reliability of new provider,"500 – 1,000",Maybe
UAE,E-commerce Brand,1-3,"1,000,001 – 5,000,000",More than 200,"Finding flexible warehouse space, Last-mile delivery costs",Rarely,On-demand (pay as you go),Mix of both,Difficult to scale,"Automated (IoT, AI-driven, warehouse management systems)",1,No,No,"Green packaging, Solar-powered warehouses",2,"Better tracking/visibility, Lower costs","Integration with existing systems, None",Less than 500,Yes
Saudi Arabia,Logistics Provider,Less than 1,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Tracking shipments",Weekly,Rented long-term,Mix of both,"Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),3,Planning to,No,Green packaging,5,"Faster deliveries, Sustainability features","Data security/privacy, Reliability of new provider","5,001 – 10,000",Maybe
Kuwait,E-commerce Brand,4-7,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Monthly,Rented long-term,Mix of both,"Environmental concerns, Lack of flexibility, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,Planning to,Maybe,"Green packaging, Route optimization for less fuel",3,Flexible contract terms,None,Less than 500,Maybe
Kuwait,SME Retailer,1-3,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Managing cross-border compliance",Daily,Rented long-term,Outsourced to 3PL,"Difficult to scale, Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),5,Planning to,Yes,"Electric vehicles, Green packaging",3,"Better tracking/visibility, Lower costs",Data security/privacy,"500 – 1,000",Yes
Saudi Arabia,SME Retailer,8+,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Technology adoption",Monthly,Rented long-term,In-house,"Delays at borders, Environmental concerns, High cost",Manual (spreadsheets/phone/email),3,No,No,"Green packaging, Solar-powered warehouses",5,"Better tracking/visibility, Lower costs",Price transparency,"1,001 – 5,000",No
UAE,E-commerce Brand,4-7,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Technology adoption",Weekly,Third-party logistics (3PL),Mix of both,"Difficult to scale, High cost","Automated (IoT, AI-driven, warehouse management systems)",2,Yes,Yes,"Electric vehicles, Green packaging",2,Lower costs,"Data security/privacy, Reliability of new provider","1,001 – 5,000",Yes
UAE,SME Retailer,8+,"Less than 100,000",51–200,"Finding flexible warehouse space, Managing cross-border compliance",Rarely,Own warehouse,Mix of both,"Difficult to scale, High cost, Lack of flexibility",Basic software (inventory/ERP),4,No,No,"Carbon offset options, Green packaging",5,"Better tracking/visibility, Faster deliveries","Data security/privacy, Reliability of new provider",Less than 500,Yes
UAE,E-commerce Brand,Less than 1,"1,000,001 – 5,000,000",More than 200,"Finding flexible warehouse space, Managing cross-border compliance",Monthly,Rented long-term,No dedicated model,High cost,Basic software (inventory/ERP),2,No,Yes,Green packaging,5,"Faster deliveries, Lower costs","Data security/privacy, Reliability of new provider","500 – 1,000",Maybe
